Action,Updated Belief State
Check,3.7
Check,2.9
Check,2.8
Check,3.1
Check,3.0
Check,2.7
Check,3.1
Check,3.1
Check,2.8
Check,4.4
Check,1.3
Check,4.8
Check,3.7
Check,3.8
Check,1.5
Check,4.2
Check,2.8
Check,4.7
Check,2.8
Check,3.7
Check,3.5
Check,1.5
Check,4.2
Check,3.3
Check,1.9
Check,3.0
Check,3.2
Check,3.2
Check,3.3
Check,3.1
Check,2.2
Check,3.7
Check,3.6
Check,1.6
Check,3.8
Check,2.4
Check,3.6
Check,3.1
Check,3.3
Check,4.6
Check,3.5
Check,4.5
Check,3.1
Check,4.6
Check,3.6
Check,1.9
Check,3.0
Check,2.6
Check,2.1
Check,2.5
Check,2.5
Check,3.5
Check,4.2
Check,4.6
Check,3.4
Check,3.1
Check,3.7
Check,2.8
Check,3.3
Check,2.9
Check,4.1
Check,3.1
Check,3.5
Check,4.8
Check,3.0
Check,1.8
Check,2.9
Check,2.9
Check,5.0
Check,4.0
Check,3.0
Check,3.8
Check,3.2
Check,3.3
Check,2.8
Check,3.9
Check,3.8
Check,3.7
Check,2.1
Check,3.6
Check,3.2
Check,2.8
Check,2.7
Check,2.7
Check,4.9
Check,3.6
Check,2.7
Check,3.0
Check,4.2
Check,3.8
Check,3.1
Check,3.2
Check,4.1
Check,3.3
Check,3.7
Check,3.0
Check,3.0
Check,1.5
Check,3.5
Check,2.8
Check,2.3
Check,2.8
Check,1.0
Check,3.2
Check,4.2
Check,3.5
Check,3.1
Check,3.5
Check,2.7
Check,2.3
Check,2.6
Check,3.6
Check,3.4
Check,3.1
Check,4.5
Check,3.5
Check,4.0
Check,4.0
Check,3.8
Check,3.4
Check,3.8
Check,4.4
Check,3.6
Check,2.9
Check,3.3
Check,2.8
Check,3.1
Check,3.1
Check,1.9
Check,3.6
Check,3.4
Check,2.4
Check,3.1
Check,2.9
Check,1.9
Check,2.7
Check,3.0
Check,4.8
Check,4.2
Check,1.6
Check,3.3
Check,3.8
Check,3.7
Check,4.4
Check,1.5
Check,3.6
Check,2.5
Check,3.3
Check,2.4
Check,3.0
Check,3.2
Check,3.1
Check,4.0
Check,3.2
Check,1.5
Check,2.7
Check,3.5
Check,1.6
Check,3.5
Check,3.2
Check,4.3
Check,2.8
Check,2.4
Check,1.9
Check,4.9
Check,1.3
Check,2.9
Check,4.2
Check,1.7
Check,3.5
Check,3.8
Check,3.2
Check,1.7
Check,3.9
Check,1.0
Check,2.0
Check,4.1
Check,3.1
Check,3.1
Check,3.7
Check,3.4
Check,3.8
Check,2.8
Check,3.1
Check,3.9
Check,3.7
Check,4.0
Check,3.2
Check,2.9
Check,3.0
Check,3.3
Check,3.2
Check,2.1
Check,4.6
Check,3.7
Check,3.0
Check,4.2
Check,4.1
Check,3.3
Check,3.5
Check,2.1
Check,2.4
Check,3.0
Check,1.5
Check,3.8
Check,3.1
Check,3.4
Check,3.4
Check,2.8
Check,4.7
Check,3.8
Check,3.9
Check,2.6
Check,2.9
Check,4.5
Check,4.4
Check,2.2
Check,3.4
Check,3.9
Check,2.2
Check,1.9
Check,3.7
Check,3.0
Check,3.1
Check,4.6
Check,4.2
Check,3.2
Check,3.0
Check,1.9
Check,4.6
Check,2.6
Check,3.3
Check,4.7
Check,2.4
Check,4.5
Check,2.6
Check,1.5
Check,3.6
Check,1.5
Check,3.5
Check,3.2
Check,4.6
Check,4.6
Check,2.6
Check,2.0
Check,3.1
Check,3.2
Check,3.6
Check,3.3
Check,3.6
Check,3.8
Check,4.0
Check,2.6
Check,2.6
Check,3.9
Check,3.0
Check,4.5
Check,2.5
Check,3.9
Check,4.0
Check,3.7
Check,4.1
Check,3.6
Check,3.3
Check,3.5
Check,2.6
Check,3.1
Check,2.5
Check,3.2
Check,3.6
Check,3.7
Check,3.1
Check,3.0
Check,3.1
Check,3.5
Check,3.1
Check,1.5
Check,4.5
Check,3.5
Check,3.1
Check,3.2
Check,3.1
Check,3.5
Check,4.6
Check,3.9
Check,2.5
Check,3.2
Check,3.0
Check,2.4
Check,4.4
Check,3.7
Check,3.2
Check,3.4
Check,3.8
Check,3.0
Check,3.6
Check,3.4
Check,4.2
Check,4.3
Check,3.2
Check,3.0
Check,2.6
Check,3.8
Check,3.1
Check,1.6
Check,3.0
Check,4.5
Check,3.5
Check,2.4
Check,3.2
Check,4.4
Check,3.2
Check,3.8
Check,4.3
Check,4.7
Check,1.1
Check,3.2
Check,3.4
Check,3.3
Check,2.8
Check,4.1
Check,1.4
Check,2.7
Check,2.8
Check,2.9
Check,3.3
Check,3.6
Check,3.0
Check,2.6
Check,3.9
Check,2.9
Check,3.2
Check,2.5
Check,3.5
Check,2.3
Check,3.3
Check,3.7
Check,2.3
Check,3.4
Check,3.7
Check,3.5
Check,2.9
Check,3.4
Check,2.4
Check,2.6
Check,2.7
Check,2.9
Check,3.1
Check,4.5
Check,3.3
Check,4.6
Check,3.9
Check,1.2
Check,2.6
Check,4.9
Check,3.2
Check,3.9
Check,3.0
Check,1.7
Check,3.5
Check,2.8
Check,1.9
Check,2.4
Check,3.3
Check,1.0
Check,4.5
Check,2.6
Check,2.8
Check,3.9
Check,4.8
Check,4.7
Check,3.8
Check,3.5
Check,4.5
Check,2.8
Check,4.8
Check,4.0
Check,3.0
Check,3.8
Check,3.5
Check,3.7
Check,3.9
Check,2.8
Check,1.0
Check,3.6
Check,3.2
Check,4.5
Check,3.2
Check,2.6
Check,3.1
Check,4.2
Check,3.5
Check,3.7
Check,3.2
Check,3.4
Check,3.8
Check,1.3
Check,4.2
Check,2.2
Check,3.3
Check,1.6
Check,2.8
Check,3.3
Check,3.5
Check,3.7
Check,1.1
Check,3.2
Check,3.7
Check,2.4
Check,2.4
Check,3.7
Check,4.2
Check,4.3
Check,2.4
Check,4.8
Check,3.8
Check,3.4
Check,4.8
Check,3.0
Check,2.5
Check,1.6
Check,2.6
Check,3.8
Check,2.8
Check,3.2
Check,2.8
Check,3.1
Check,3.1
Check,3.8
Check,3.1
Check,2.5
Check,3.3
Check,3.6
Check,2.1
Check,3.2
Check,2.1
Check,3.7
Check,3.6
Check,1.9
Check,3.1
Check,1.4
Check,4.0
Check,3.6
Check,1.2
Check,3.4
Check,3.0
Check,3.8
Check,4.6
Check,3.3
Check,3.7
Check,3.1
Check,4.4
Check,2.1
Check,4.5
Check,3.2
Check,3.1
Check,4.4
Check,1.3
Check,3.7
Check,3.5
Check,2.2
Check,4.7
Check,4.7
Check,1.2
Check,3.3
Check,4.6
Check,4.2
Check,3.6
Check,3.8
Check,3.0
Check,4.9
Check,2.9
Check,1.0
Check,1.4
Check,2.7
Check,1.8
Check,3.0
Check,3.9
Check,3.2
Check,3.7
Check,3.9
Check,4.3
Check,4.7
Check,2.8
Check,4.5
Check,3.2
Check,2.9
Check,4.0
Check,3.2
Check,3.5
Check,4.5
Check,2.8
Check,1.7
Check,2.9
Check,2.3
Check,2.0
Check,2.6
Check,2.0
Check,3.3
Check,2.4
Check,3.2
Check,2.3
Check,4.3
Check,4.4
Check,4.3
Check,5.0
Check,2.1
Check,3.1
Check,2.9
Check,3.3
Check,1.3
Check,3.4
Check,3.8
Check,4.2
Check,2.8
Check,2.8
Check,1.7
Check,3.2
Check,3.4
Check,1.8
Check,3.9
Check,2.7
Check,2.3
Check,3.5
Check,4.1
Check,3.1
Check,3.4
Check,1.9
Check,2.3
Check,4.2
Check,3.0
Check,2.8
Check,2.8
Check,3.1
Check,2.9
Check,3.3
Check,3.5
Check,3.4
Check,3.2
Check,3.8
Check,2.9
Check,4.1
Check,2.6
Check,2.7
Check,3.6
Check,2.2
Check,3.1
Check,2.1
Check,3.7
Check,4.1
Check,4.4
Check,2.6
Check,3.5
Check,3.3
Check,5.0
Check,4.8
Check,2.8
Check,4.1
Check,1.0
Check,3.2
Check,4.0
Check,3.6
Check,4.3
Check,4.7
Check,3.7
Check,4.4
Check,3.5
Check,3.6
Check,3.2
Check,3.4
Check,3.4
Check,1.7
Check,2.8
Check,3.6
Check,3.8
Check,2.5
Check,3.7
Check,2.3
Check,3.1
Check,2.7
Check,2.5
Check,3.9
Check,2.7
Check,3.8
Check,2.8
Check,3.6
Check,4.9
Check,2.9
Check,3.0
Check,3.3
Check,3.3
Check,3.8
Check,3.0
Check,4.7
Check,1.7
Check,3.3
Check,1.5
Check,3.3
Check,2.9
Check,3.4
Check,3.8
Check,3.3
Check,2.6
Check,4.8
Check,3.1
Check,4.8
Check,4.5
Check,2.8
Check,3.7
Check,2.9
Check,3.4
Check,4.6
Check,2.4
Check,3.0
Check,2.0
Check,3.8
Check,4.5
Check,4.2
Check,4.4
Check,2.7
Check,4.2
Check,3.5
Check,2.9
Check,3.8
Check,3.3
Check,3.6
Check,3.1
Check,3.2
Check,2.8
Check,3.7
Check,4.0
Check,3.0
Check,3.5
Check,2.8
Check,2.1
Check,2.6
Check,1.8
Check,2.0
Check,4.2
Check,2.9
Check,3.6
Check,2.6
Check,4.1
Check,2.7
Check,1.2
Check,3.9
Check,4.5
Check,3.4
Check,4.0
Check,3.2
Check,1.7
Check,3.1
Check,2.4
Check,4.4
Check,3.4
Check,3.1
Check,2.9
Check,1.6
Check,3.5
Check,4.2
Check,1.7
Check,3.0
Check,1.1
Check,3.1
Check,1.4
Check,2.0
Check,1.3
Check,3.9
Check,3.6
Check,3.4
Check,2.8
Check,4.0
Check,3.6
Check,1.4
Check,3.2
Check,3.0
Check,4.2
Check,2.8
Check,4.3
Check,3.3
Check,3.7
Check,2.3
Check,3.0
Check,3.3
Check,3.0
Check,3.1
Check,4.0
Check,2.4
Check,4.3
Check,1.5
Check,3.8
Check,4.1
Check,3.8
Check,4.0
Check,3.1
Check,3.3
Check,2.6
Check,4.4
Check,1.2
Check,3.6
Check,3.8
Check,2.8
Check,2.1
Check,4.3
Check,3.0
Check,2.6
Check,1.0
Check,3.9
Check,2.5
Check,3.3
Check,3.3
Check,3.3
Check,3.6
Check,2.7
Check,1.1
Check,3.2
Check,3.6
Check,1.9
Check,3.1
Check,2.5
Check,2.1
Check,2.7
Check,3.1
Check,3.5
Check,3.2
Check,2.9
Check,1.7
Check,3.5
Check,4.6
Check,2.2
Check,1.6
Check,1.1
Check,2.2
Check,2.0
Check,3.2
Check,3.5
Check,4.7
Check,4.3
Check,3.1
Check,2.5
Check,3.4
Check,2.7
Check,3.0
Check,3.3
Check,3.1
Check,2.9
Check,3.3
Check,3.3
Check,4.2
Check,1.6
Check,2.9
Check,3.1
Check,2.6
Check,3.0
Check,3.3
Check,1.8
Check,3.4
Check,4.1
Check,4.2
Check,1.8
Check,2.9
Check,3.7
Check,3.4
Check,3.2
Check,2.7
Check,4.1
Check,3.2
Check,2.7
Check,3.3
Check,2.9
Check,3.7
Check,3.0
Check,2.7
Check,4.5
Check,4.1
Check,3.3
Check,3.0
Check,3.0
Check,3.5
Check,4.3
Check,3.8
Check,3.3
Check,4.7
Check,3.5
Check,1.7
Check,3.4
Check,1.8
Check,3.2
Check,3.6
Check,2.9
Check,3.9
Check,1.7
Check,1.2
Check,3.2
Check,3.0
Check,2.6
Check,4.7
Check,3.1
Check,3.1
Check,3.7
Check,3.0
Check,3.4
Check,2.5
Check,3.3
Check,3.6
Check,2.7
Check,3.7
Check,4.1
Check,3.2
Check,3.3
Check,2.4
Check,3.7
Check,3.9
Check,2.8
Check,3.3
Check,2.9
Check,4.2
Check,4.5
Check,3.4
Check,4.3
Check,3.2
Check,3.1
Check,3.5
Check,2.1
Check,2.5
Check,4.1
Check,3.1
Check,3.7
Check,2.8
Check,4.9
Check,3.8
Check,2.6
Check,3.4
Check,4.4
Check,2.8
Check,2.3
Check,3.7
Check,4.7
Check,1.3
Check,4.3
Check,3.4
Check,4.9
Check,4.0
Check,3.6
Check,2.9
Check,3.7
Check,4.1
Check,3.0
Check,3.2
Check,3.2
Check,5.0
Check,3.1
Check,4.4
Check,2.9
Check,3.1
Check,4.0
Check,3.5
Check,2.4
Check,3.6
Check,3.6
Check,3.2
Check,3.2
Check,3.1
Check,4.0
Check,3.7
Check,2.8
Check,3.8
Check,2.9
Check,2.0
Check,3.1
Check,1.2
Check,3.2
Check,4.1
Check,3.2
Check,4.0
Check,3.7
Check,2.8
Check,3.2
Check,5.0
Check,3.9
Check,3.6
Check,3.0
Check,3.1
Check,2.4
Check,3.4
Check,2.8
Check,3.8
Check,4.4
Check,3.8
Check,2.9
Check,1.8
Check,3.0
Check,2.9
Check,3.9
Check,4.3
Check,2.3
Check,3.9
Check,3.6
Check,2.8
Check,2.8
Check,2.1
Check,3.1
Check,1.8
Check,4.4
Check,3.0
Check,4.0
Check,3.7
Check,3.7
Check,3.6
Check,3.4
Check,2.4
Check,2.8
Check,4.9
Check,4.8
Check,4.2
Check,3.3
Check,4.3
Check,3.4
Check,4.1
Check,4.1
Check,2.7
Check,2.7
Check,3.7
Check,3.4
Check,3.5
Check,1.3
Check,2.7
Check,2.8
Check,3.1
Check,2.3
Check,3.1
Check,3.0
Check,3.6
Check,3.4
Check,4.1
Check,2.6
Check,3.4
Check,1.9
Check,3.0
Check,3.4
Check,3.1
Check,1.5
Check,1.9
Check,1.8
Check,3.8
Check,3.2
Check,3.0
Check,3.4
Check,1.6
Check,3.0
Check,3.2
Check,4.3
Check,1.5
Check,4.6
Check,3.3
Check,3.7
Check,3.6
Check,3.0
Check,4.2
Check,3.7
Check,3.9
Check,2.2
Check,3.5
Check,3.4
Check,3.1
Check,3.0
Check,3.1
Check,2.5
Check,2.7
Check,2.0
Check,4.0
Check,4.2
Check,2.3
Check,3.5
Check,1.5
Check,3.8
Check,3.7
Check,2.7
Check,1.6
Check,2.7
Check,3.4
Check,2.9
Check,4.0
Check,3.5
Check,4.0
Check,4.5
Check,3.3
Check,3.6
Check,3.1
Check,4.3
Check,3.6
Check,3.0
Check,1.4
Check,2.4
Check,3.0
Check,4.6
Check,3.8
Check,1.9
Check,3.9
Check,3.1
Check,2.2
Check,2.3
Check,3.7
Check,2.8
Check,2.7
Check,3.0
Check,3.3
Check,3.3
Check,3.5
Check,4.8
Check,3.7
Check,2.2
Check,2.0
Check,3.9
Check,4.0
Check,3.4
Check,4.2
Check,3.0
Check,4.0
Check,3.5
Check,2.7
Check,2.6
Check,2.2
Check,4.8
Check,4.3
Check,3.0
Check,3.7
Check,1.1
Check,2.6
Check,1.4
Check,3.1
Check,3.6
Check,2.9
Check,2.5
Check,3.6
Check,2.3
Check,3.0
Check,2.9
Check,2.5
Check,2.7
Check,3.0
Check,3.0
Check,4.7
Check,4.8
Check,1.6
Check,4.4
Check,3.4
Check,3.6
Check,3.6
Check,3.4
Check,4.9
Check,3.6
Check,3.4
Check,1.8
Check,3.4
Check,3.4
Check,1.9
Check,2.8
Check,1.4
Check,4.6
Check,2.9
Check,3.1
Check,1.5
Check,3.2
Check,3.7
Check,3.1
Check,3.4
Check,2.8
Check,2.5
Check,3.1
Check,1.6
Check,4.2
Check,2.0
Check,2.4
Check,2.3
Check,3.0
Check,3.1
Check,3.3
Check,3.2
Check,3.0
Check,3.4
Check,3.9
Check,3.2
Check,3.4
Check,3.9
Check,2.7
Check,4.4
Check,3.3
Check,3.0
Check,4.5
Check,4.4
Check,3.2
Check,3.5
Check,2.8
Check,3.4
Check,4.2
Check,3.5
Check,3.7
Check,3.3
Check,3.0
Check,3.3
Check,3.8
Check,4.4
Check,3.8
Check,3.2
Check,3.3
Check,2.8
Check,3.3
Check,3.4
Check,5.0
Check,2.9
Check,2.6
Check,4.1
Check,3.2
Check,3.9
Check,1.1
Check,4.1
Check,2.9
Check,2.1
Check,3.5
Check,3.4
Check,2.8
Check,2.4
Check,2.8
Check,3.0
Check,3.2
Check,3.3
Check,3.0
Check,4.4
Check,2.7
Check,3.8
Check,4.0
Check,2.1
Check,3.3
Check,3.1
Check,2.7
Check,3.8
Check,4.3
Check,1.7
Check,4.3
Check,3.8
Check,2.1
Check,3.1
Check,4.7
Check,4.2
Check,3.2
Check,3.2
Check,2.9
Check,3.2
Check,2.9
Check,3.1
Check,3.3
Check,4.4
Check,2.7
Check,1.6
Check,5.0
Check,4.2
Check,3.8
Check,3.4
Check,4.3
Check,4.6
Check,3.7
Check,3.4
Check,3.5
Check,4.4
Check,2.8
Check,3.1
Check,3.5
Check,1.0
Check,3.5
Check,1.9
Check,1.5
Check,2.2
Check,3.2
Check,2.7
Check,3.3
Check,3.9
Check,3.6
Check,3.6
Check,2.8
Check,4.4
Check,4.6
Check,1.4
Check,4.8
Check,1.4
Check,3.1
Check,2.7
Check,1.4
Check,2.7
Check,3.8
Check,3.2
Check,2.8
Check,3.3
Check,2.6
Check,3.2
Check,2.9
Check,3.2
Check,3.3
Check,4.1
Check,2.3
Check,2.2
Check,2.2
Check,2.6
Check,2.5
Check,2.3
Check,3.3
Check,1.0
Check,3.9
Check,3.2
Check,3.3
Check,3.1
Check,3.9
Check,1.4
Check,3.8
Check,2.9
Check,3.3
Check,3.4
Check,3.1
Check,4.6
Check,5.0
Check,3.7
Check,3.5
Check,3.5
Check,2.8
Check,3.4
Check,2.3
Check,4.1
Check,2.9
Check,1.8
Check,3.1
Check,3.9
Check,3.3
Check,3.8
Check,3.8
Check,3.0
Check,3.7
Check,3.6
Check,2.9
Check,5.0
Check,4.0
Check,1.3
Check,2.8
Check,4.1
Check,1.1
Check,2.3
Check,2.8
Check,2.3
Check,3.4
Check,4.0
Check,3.6
Check,3.1
Check,3.8
Check,3.4
Check,3.2
Check,4.8
Check,2.7
Check,2.7
Check,2.9
Check,4.2
Check,3.9
Check,1.2
Check,3.8
Check,4.5
Check,3.2
Check,3.2
Check,5.0
Check,4.7
Check,2.9
Check,4.3
Check,3.8
Check,2.8
Check,3.6
Check,2.9
Check,3.5
Check,4.0
Check,4.2
Check,3.3
Check,3.2
Check,2.6
Check,2.3
Check,3.7
Check,2.6
Check,3.7
Check,3.2
Check,4.8
Check,4.6
Check,3.4
Check,1.6
Check,3.3
Check,2.9
Check,3.6
Check,3.1
Check,2.9
Check,3.9
Check,4.9
Check,3.7
Check,3.9
Check,3.0
Check,4.0
Check,3.2
Check,2.9
Check,3.4
Check,5.0
Check,4.5
Check,3.9
Check,3.4
Check,3.5
Check,2.9
Check,4.1
Check,4.3
Check,3.3
Check,3.7
Check,3.6
Check,2.9
Check,3.1
Check,1.4
Check,3.7
Check,2.9
Check,4.3
Check,3.0
Check,3.8
Check,2.7
Check,3.1
Check,2.4
Check,3.5
Check,3.9
Check,3.1
Check,2.3
Check,4.3
Check,2.7
Check,3.9
Check,1.9
Check,4.5
Check,1.9
Check,4.5
Check,3.5
Check,4.2
Check,4.1
Check,2.8
Check,3.5
Check,2.7
Check,2.1
Check,3.1
Check,4.5
Check,3.3
Check,2.9
Check,2.1
Check,2.8
Check,2.7
Check,4.7
Check,3.3
Check,4.6
Check,3.1
Check,4.7
Check,2.3
Check,3.6
Check,3.5
Check,2.9
Check,3.5
Check,3.3
Check,3.3
Check,3.8
Check,4.2
Check,2.9
Check,3.7
Check,3.5
Check,1.6
Check,2.3
Check,3.2
Check,2.9
Check,4.3
Check,4.2
Check,3.1
Check,1.0
Check,3.5
Check,3.0
Check,4.2
Check,4.0
Check,3.4
Check,4.0
Check,2.8
Check,2.0
Check,3.6
Check,4.6
Check,2.9
Check,1.0
Check,3.1
Check,2.3
Check,3.6
Check,3.8
Check,4.2
Check,1.6
Check,4.7
Check,3.2
Check,2.2
Check,1.0
Check,3.1
Check,2.9
Check,3.0
Check,4.1
Check,4.3
Check,2.8
Check,1.8
Check,2.8
Check,3.0
Check,3.1
Check,2.3
Check,4.6
Check,3.5
Check,3.7
Check,2.6
Check,2.7
Check,3.1
Check,4.8
Check,3.4
Check,2.5
Check,2.9
Check,4.2
Check,3.1
Check,3.9
Check,3.9
Check,4.0
Check,2.8
Check,3.7
Check,3.3
Check,3.0
Check,3.1
Check,4.5
Check,3.0
Check,3.9
Check,3.1
Check,4.3
Check,3.0
Check,3.9
Check,4.9
Check,4.7
Check,3.3
Check,3.6
Check,4.1
Check,4.6
Check,3.1
Check,4.3
Check,2.3
Check,4.4
Check,3.4
Check,3.4
Check,2.3
Check,3.2
Check,4.3
Check,3.0
Check,4.5
Check,2.5
Check,4.0
Check,3.6
Check,4.9
Check,4.7
Check,2.0
Check,2.8
Check,2.4
Check,4.7
Check,3.0
Check,4.3
Check,4.4
Check,3.1
Check,3.2
Check,4.3
Check,4.9
Check,3.0
Check,3.1
Check,3.2
Check,3.1
Check,2.6
Check,3.2
Check,3.1
Check,3.4
Check,3.8
Check,4.6
Check,3.0
Check,3.5
Check,4.0
Check,3.1
Check,3.2
Check,3.9
Check,4.8
Check,1.9
Check,2.2
Check,3.3
Check,1.1
Check,2.4
Check,3.3
Check,3.1
Check,3.7
Check,3.4
Check,4.4
Check,2.9
Check,3.4
Check,5.0
Check,4.4
Check,2.0
Check,4.4
Check,2.5
Check,3.2
Check,4.3
Check,3.2
Check,1.3
Check,1.2
Check,4.1
Check,3.6
Check,2.6
Check,1.2
Check,2.0
Check,5.0
Check,3.5
Check,3.4
Check,4.2
Check,4.4
Check,1.4
Check,1.8
Check,3.3
Check,3.1
Check,2.9
Check,2.9
Check,3.0
Check,1.9
Check,3.8
Check,4.5
Check,3.7
Check,3.2
Check,3.6
Check,3.9
Check,3.6
Check,2.3
Check,3.9
Check,2.4
Check,4.7
Check,3.2
Check,4.4
Check,2.4
Check,3.2
Check,2.4
Check,2.4
Check,4.9
Check,4.9
Check,3.3
Check,3.4
Check,4.0
Check,3.7
Check,1.7
Check,3.8
Check,3.6
Check,3.0
Check,3.6
Check,2.3
Check,3.6
Check,5.0
Check,2.4
Check,3.3
Check,3.7
Check,3.5
Check,1.8
Check,1.1
Check,3.1
Check,3.0
Check,3.2
Check,4.0
Check,2.7
Check,4.2
Check,3.2
Check,3.2
Check,2.4
Check,3.9
Check,3.4
Check,4.9
Check,2.9
Check,3.4
Check,1.2
Check,3.5
Check,4.0
Check,3.2
Check,4.4
Check,3.8
Check,1.5
Check,3.1
Check,4.6
Check,3.9
Check,3.5
Check,4.3
Check,4.6
Check,1.4
Check,3.9
Check,3.7
Check,4.4
Check,4.7
Check,2.6
Check,2.7
Check,3.6
Check,4.7
Check,2.8
Check,3.5
Check,4.7
Check,3.7
Check,3.4
Check,4.4
Check,4.1
Check,2.6
Check,1.8
Check,3.0
Check,2.7
Check,3.5
Check,3.2
Check,2.7
Check,3.2
Check,3.7
Check,1.4
Check,2.3
Check,2.8
Check,2.3
Check,3.4
Check,3.6
Check,4.3
Check,2.5
Check,3.6
Check,2.8
Check,2.7
Check,4.7
Check,4.2
