Game,Result
1,27
2,15
3,10
4,15
5,8
6,27
7,17
8,13
9,11
10,15
11,16
12,15
13,10
14,15
15,24
16,11
17,15
18,20
19,29
20,18
21,22
22,17
23,9
24,13
25,15
26,9
27,19
28,10
29,13
30,27
31,15
32,18
33,24
34,12
35,16
36,20
37,19
38,10
39,10
40,19
41,16
42,13
43,10
44,25
45,18
46,20
47,13
48,11
49,18
50,28
51,15
52,27
53,21
54,12
55,31
56,15
57,10
58,13
59,20
60,12
61,12
62,12
63,17
64,17
65,14
66,20
67,15
68,18
69,19
70,12
71,20
72,15
73,10
74,22
75,27
76,14
77,28
78,22
79,20
80,13
81,18
82,17
83,15
84,22
85,17
86,10
87,20
88,26
89,13
90,11
91,12
92,15
93,15
94,24
95,20
96,14
97,14
98,12
99,12
100,21
101,14
102,12
103,18
104,17
105,21
106,7
107,13
108,15
109,24
110,16
111,22
112,13
113,12
114,18
115,20
116,7
117,13
118,24
119,8
120,27
121,18
122,25
123,23
124,12
125,9
126,16
127,25
128,24
129,11
130,22
131,18
132,7
133,12
134,14
135,11
136,19
137,18
138,18
139,20
140,13
141,14
142,9
143,7
144,11
145,18
146,19
147,13
148,21
149,27
150,8
151,9
152,15
153,19
154,17
155,19
156,26
157,27
158,11
159,13
160,9
161,12
162,17
163,27
164,12
165,29
166,35
167,19
168,14
169,12
170,15
171,6
172,11
173,15
174,9
175,27
176,20
177,17
178,11
179,32
180,10
181,14
182,12
183,11
184,21
185,15
186,18
187,14
188,13
189,17
190,15
191,16
192,18
193,16
194,16
195,18
196,19
197,14
198,28
199,23
200,7
201,9
202,26
203,14
204,14
205,7
206,11
207,23
208,14
209,10
210,31
211,15
212,17
213,34
214,14
215,17
216,12
217,16
218,17
219,9
220,16
221,12
222,17
223,24
224,9
225,20
226,8
227,22
228,24
229,29
230,11
231,13
232,23
233,12
234,13
235,14
236,23
237,21
238,17
239,16
240,18
241,17
242,18
243,27
244,20
245,22
246,12
247,15
248,16
249,12
250,7
