Game,Player Wins,Opponent Wins
1,1,0
2,2,0
3,2,1
4,4,1
5,4,2
6,5,2
7,5,3
8,6,4
9,6,4
10,7,3
11,8,3
12,9,3
13,10,3
14,11,3
15,12,3
16,13,3
17,14,3
18,15,3
19,16,3
20,17,3
21,18,3
22,18,4
23,19,4
24,19,5
25,19,6
26,20,6
27,22,6
28,23,6
29,24,6
30,25,6
31,26,6
32,27,6
33,27,7
34,27,8
35,28,8
36,28,9
37,28,10
38,29,10
39,29,11
40,29,12
41,31,12
42,33,12
43,33,12
44,33,12
45,33,13
46,34,13
47,35,13
48,36,12
49,37,12
50,38,12
51,39,12
52,40,12
53,41,11
54,41,12
55,42,11
56,42,12
57,42,13
58,43,13
59,44,13
60,44,13
61,45,13
62,45,14
63,45,14
64,46,13
65,47,13
66,49,13
67,49,14
68,50,14
69,51,14
70,51,15
71,52,15
72,53,15
73,54,15
74,56,15
75,57,14
76,57,15
77,57,16
78,59,16
79,60,16
80,61,16
81,62,16
82,62,16
83,62,17
84,62,18
85,63,17
86,64,17
87,64,18
88,65,18
89,65,19
90,65,20
91,66,20
92,66,21
93,67,21
94,67,22
95,68,22
96,68,23
97,68,24
98,69,24
99,70,24
100,71,24
101,72,24
102,72,24
103,72,25
104,72,26
105,73,26
106,73,26
107,74,26
108,75,26
109,76,26
110,76,27
111,77,27
112,78,27
113,79,27
114,80,27
115,81,27
116,82,27
117,84,27
118,85,27
119,86,27
120,87,27
121,88,27
122,88,28
123,89,28
124,90,28
125,91,28
126,92,28
127,93,28
128,95,28
129,96,29
130,96,30
131,97,30
132,97,31
133,98,31
134,98,32
135,99,32
136,99,33
137,101,33
138,102,33
139,103,33
140,104,33
141,105,33
142,106,33
143,107,33
144,108,33
145,109,33
146,110,32
147,110,33
148,111,33
149,112,33
150,114,33
151,114,34
152,115,34
153,116,34
154,118,34
155,119,34
156,120,34
157,120,35
158,121,35
159,122,35
160,122,36
161,123,36
162,125,36
163,126,36
164,126,37
165,126,38
166,127,38
167,128,38
168,129,38
169,129,39
170,129,40
171,130,40
172,131,40
173,132,39
174,132,40
175,132,41
176,133,41
177,134,41
178,135,41
179,136,41
180,137,41
181,138,41
182,139,41
183,139,42
184,140,42
185,141,42
186,142,42
187,142,43
188,143,43
189,144,44
190,145,44
191,145,45
192,146,45
193,146,46
194,147,46
195,148,46
196,149,46
197,149,47
198,150,47
199,151,47
200,152,47
201,153,47
202,153,48
203,154,48
204,154,49
205,154,50
206,154,51
207,155,51
208,156,51
209,156,52
210,157,51
211,158,51
212,159,51
213,159,52
214,160,51
215,162,51
216,163,51
217,163,52
218,163,53
219,163,54
220,163,55
221,165,55
222,166,54
223,167,54
224,168,54
225,169,54
226,170,54
227,171,54
228,172,55
229,172,56
230,173,56
231,174,56
232,175,56
233,177,56
234,177,57
235,177,58
236,178,58
237,179,58
238,179,59
239,179,60
240,180,60
241,181,60
242,181,61
243,182,61
244,183,61
245,184,61
246,185,61
247,186,61
248,187,61
249,188,61
250,189,61
