Game,Player Wins,Opponent Wins
1,0,1
2,1,1
3,2,1
4,3,1
5,3,2
6,4,2
7,5,2
8,5,3
9,6,3
10,6,4
11,7,4
12,7,5
13,7,6
14,8,6
15,9,6
16,10,6
17,10,7
18,11,7
19,11,8
20,11,9
21,12,9
22,13,9
23,14,9
24,14,10
25,15,10
26,15,11
27,16,11
28,16,12
29,17,12
30,18,12
31,19,12
32,19,13
33,19,14
34,20,14
35,20,15
36,21,15
37,21,16
38,21,17
39,22,17
40,23,17
41,24,17
42,24,18
43,24,19
44,25,19
45,25,20
46,25,21
47,25,22
48,25,23
49,25,24
50,26,24
51,27,24
52,28,24
53,28,25
54,29,25
55,30,25
56,30,26
57,31,26
58,32,26
59,33,26
60,34,26
61,35,26
62,36,26
63,37,26
64,38,26
65,39,26
66,39,27
67,39,28
68,40,28
69,40,29
70,41,29
71,42,29
72,42,30
73,42,31
74,42,32
75,42,33
76,43,33
77,43,34
78,44,34
79,44,35
80,45,35
81,46,35
82,46,36
83,47,36
84,47,37
85,48,37
86,49,37
87,49,38
88,50,38
89,50,39
90,50,40
91,51,40
92,51,41
93,51,42
94,52,42
95,53,42
96,54,42
97,54,43
98,54,44
99,54,45
100,54,46
101,55,46
102,55,47
103,55,48
104,55,49
105,55,50
106,56,50
107,57,50
108,57,51
109,57,52
110,58,52
111,59,52
112,59,53
113,60,53
114,61,53
115,62,53
116,62,54
117,63,54
118,63,55
119,64,55
120,65,55
121,66,55
122,67,55
123,68,55
124,69,55
125,69,56
126,69,57
127,70,57
128,71,57
129,72,57
130,73,57
131,73,58
132,73,59
133,74,59
134,75,59
135,76,59
136,76,60
137,76,61
138,76,62
139,77,62
140,78,62
141,78,63
142,79,63
143,80,63
144,80,64
145,80,65
146,81,65
147,82,65
148,83,65
149,83,66
150,83,67
151,84,67
152,84,68
153,84,69
154,85,69
155,86,69
156,87,69
157,88,69
158,89,69
159,89,70
160,90,70
161,90,71
162,91,71
163,92,71
164,93,71
165,94,71
166,95,71
167,95,72
168,95,73
169,96,73
170,97,73
171,98,73
172,98,74
173,99,74
174,99,75
175,100,75
176,100,76
177,100,77
178,101,77
179,102,77
180,103,77
181,104,77
182,104,78
183,104,79
184,104,80
185,104,81
186,105,81
187,106,81
188,106,82
189,106,83
190,107,83
191,108,83
192,108,84
193,109,84
194,110,84
195,111,84
196,112,84
197,113,84
198,113,85
199,113,86
200,114,86
201,115,86
202,116,86
203,117,86
204,117,87
205,118,87
206,118,88
207,118,89
208,119,89
209,119,90
210,120,90
211,121,90
212,121,91
213,121,92
214,122,92
215,122,93
216,122,94
217,122,95
218,122,96
219,122,97
220,122,98
221,122,99
222,122,100
223,122,101
224,122,102
225,122,103
226,122,104
227,122,105
228,123,105
229,124,105
230,125,105
231,125,106
232,125,107
233,126,107
234,127,107
235,127,108
236,127,109
237,128,109
238,129,109
239,129,110
240,129,111
241,130,111
242,131,111
243,131,112
244,132,112
245,132,113
246,133,113
247,133,114
248,134,114
249,135,114
250,135,115
