Game,Result,Wins,Losses
1,Win,1,0
2,Loss,1,1
3,Win,2,1
4,Win,3,1
5,Win,4,1
6,Win,5,1
7,Loss,5,2
8,Loss,5,3
9,Win,6,3
10,Loss,6,4
11,Loss,6,5
12,Loss,6,6
13,Loss,6,7
14,Loss,6,8
15,Win,7,8
16,Win,8,8
17,Win,9,8
18,Win,10,8
19,Win,11,8
20,Win,12,8
21,Win,13,8
22,Win,14,8
23,Win,15,8
24,Loss,15,9
25,Win,16,9
26,Win,17,9
27,Win,18,9
28,Win,19,9
29,Win,20,9
30,Loss,20,10
31,Loss,20,11
32,Loss,20,12
33,Loss,20,13
34,Win,21,13
35,Win,22,13
36,Win,23,13
37,Win,24,13
38,Loss,24,14
39,Win,25,14
40,Win,26,14
41,Win,27,14
42,Win,28,14
43,Loss,28,15
44,Win,29,15
45,Win,30,15
46,Loss,30,16
47,Win,31,16
48,Loss,31,17
49,Win,32,17
50,Win,33,17
51,Loss,33,18
52,Win,34,18
53,Win,35,18
54,Loss,35,19
55,Win,36,19
56,Win,37,19
57,Win,38,19
58,Win,39,19
59,Loss,39,20
60,Win,40,20
61,Win,41,20
62,Loss,41,21
63,Win,42,21
64,Win,43,21
65,Win,44,21
66,Win,45,21
67,Win,46,21
68,Loss,46,22
69,Win,47,22
70,Loss,47,23
71,Win,48,23
72,Win,49,23
73,Win,50,23
74,Loss,50,24
75,Loss,50,25
76,Loss,50,26
77,Win,51,26
78,Loss,51,27
79,Win,52,27
80,Loss,52,28
81,Win,53,28
82,Win,54,28
83,Win,55,28
84,Loss,55,29
85,Loss,55,30
86,Loss,55,31
87,Loss,55,32
88,Win,56,32
89,Win,57,32
90,Win,58,32
91,Win,59,32
92,Win,60,32
93,Loss,60,33
94,Win,61,33
95,Win,62,33
96,Win,63,33
97,Loss,63,34
98,Win,64,34
99,Win,65,34
100,Win,66,34
101,Win,67,34
102,Win,68,34
103,Loss,68,35
104,Loss,68,36
105,Win,69,36
106,Win,70,36
107,Win,71,36
108,Loss,71,37
109,Loss,71,38
110,Loss,71,39
111,Loss,71,40
112,Loss,71,41
113,Loss,71,42
114,Win,72,42
115,Win,73,42
116,Loss,73,43
117,Win,74,43
118,Loss,74,44
119,Loss,74,45
120,Loss,74,46
121,Loss,74,47
122,Win,75,47
123,Win,76,47
124,Win,77,47
125,Win,78,47
126,Win,79,47
127,Win,80,47
128,Win,81,47
129,Win,82,47
130,Win,83,47
131,Win,84,47
132,Win,85,47
133,Win,86,47
134,Win,87,47
135,Win,88,47
136,Win,89,47
137,Loss,89,48
138,Win,90,48
139,Win,91,48
140,Win,92,48
141,Win,93,48
142,Win,94,48
143,Loss,94,49
144,Win,95,49
145,Win,96,49
146,Win,97,49
147,Win,98,49
148,Loss,98,50
149,Win,99,50
150,Win,100,50
151,Win,101,50
152,Win,102,50
153,Win,103,50
154,Loss,103,51
155,Loss,103,52
156,Win,104,52
157,Win,105,52
158,Loss,105,53
159,Win,106,53
160,Win,107,53
161,Loss,107,54
162,Win,108,54
163,Loss,108,55
164,Loss,108,56
165,Win,109,56
166,Win,110,56
167,Loss,110,57
168,Loss,110,58
169,Win,111,58
170,Win,112,58
171,Win,113,58
172,Win,114,58
173,Win,115,58
174,Win,116,58
175,Win,117,58
176,Win,118,58
177,Loss,118,59
178,Win,119,59
179,Win,120,59
180,Loss,120,60
181,Loss,120,61
182,Loss,120,62
183,Win,121,62
184,Win,122,62
185,Win,123,62
186,Win,124,62
187,Win,125,62
188,Win,126,62
189,Win,127,62
190,Win,128,62
191,Loss,128,63
192,Win,129,63
193,Win,130,63
194,Win,131,63
195,Loss,131,64
196,Loss,131,65
197,Win,132,65
198,Win,133,65
199,Loss,133,66
200,Win,134,66
201,Loss,134,67
202,Win,135,67
203,Win,136,67
204,Win,137,67
205,Win,138,67
206,Loss,138,68
207,Loss,138,69
208,Win,139,69
209,Win,140,69
210,Win,141,69
211,Win,142,69
212,Win,143,69
213,Win,144,69
214,Loss,144,70
215,Loss,144,71
216,Win,145,71
217,Win,146,71
218,Loss,146,72
219,Win,147,72
220,Win,148,72
221,Win,149,72
222,Loss,149,73
223,Win,150,73
224,Win,151,73
225,Loss,151,74
226,Loss,151,75
227,Win,152,75
228,Win,153,75
229,Win,154,75
230,Loss,154,76
231,Loss,154,77
232,Win,155,77
233,Win,156,77
234,Loss,156,78
235,Loss,156,79
236,Win,157,79
237,Win,158,79
238,Win,159,79
239,Win,160,79
240,Win,161,79
241,Win,162,79
242,Win,163,79
243,Win,164,79
244,Win,165,79
245,Win,166,79
246,Loss,166,80
247,Win,167,80
248,Win,168,80
249,Loss,168,81
250,Win,169,81
