Win Bucket,Suited,Connectedness,High Card,Flop Status,Paired Board,Connected Board,Board High Card,Count High Cards,Rank of Pair,Number of Paired Cards,Flush,Straight,Full House,Pot Size,Player Bankroll,Action,Reward,Next Win Bucket,Next Suited,Next Connectedness,Next High Card,Next Flop Status,Next Paired Board,Next Connected Board,Next Board High Card,Next Count High Cards,Next Rank of Pair,Next Number of Paired Cards,Next Flush,Next Straight,Next Full House,Next Pot Size,Next Player Bankroll,Next Opponent Bankroll
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,Bet Small,5.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,5
2,0,0,1,1,0,0,1,0,0,0,0,0,0,2,4,Call,5.0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,2,4,4
2,0,0,1,2,0,0,2,1,3,1,0,0,0,3,3,Call,6.6,2,0,0,1,2,0,0,2,1,3,1,0,0,0,3,3,4
2,0,0,1,3,0,0,2,1,3,1,0,0,0,4,3,Check,16.4,2,0,0,1,3,0,0,2,1,3,1,0,0,0,4,3,3
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,0.5,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,1,0,1,0,0,2,1,1,1,1,0,0,0,7,Check,0.5,1,0,1,0,1,0,0,2,1,1,1,1,0,0,0,7,3
1,0,1,0,2,0,0,2,1,1,1,1,1,0,0,7,Check,0.5,1,0,1,0,2,0,0,2,1,1,1,1,1,0,0,7,3
1,0,1,0,3,0,0,2,2,1,1,1,1,0,0,7,Check,10.0,1,0,1,0,3,0,0,2,2,1,1,1,1,0,0,7,3
1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Fold,-10.0,1,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Fold,-10.0,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,1.5,2,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,1,0,0,1,0,0,2,1,1,1,0,0,0,0,7,Check,1.5,2,1,0,0,1,0,0,2,1,1,1,0,0,0,0,7,3
2,1,0,0,2,0,0,2,1,1,1,0,0,0,0,7,Check,1.5,2,1,0,0,2,0,0,2,1,1,1,0,0,0,0,7,3
2,1,0,0,3,1,0,2,2,3,2,0,0,0,0,7,Check,10.0,2,1,0,0,3,1,0,2,2,3,2,0,0,0,0,7,3
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Bet Big,5.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Call,10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,Check,1.5,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,2
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,5
1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,5,Call,-2.5,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,5,5
1,0,0,0,2,1,0,1,0,1,1,0,2,0,3,4,Call,-2.9,1,0,0,0,2,1,0,1,0,1,1,0,2,0,3,4,4
1,0,0,0,3,1,1,1,0,1,2,0,2,0,5,3,Check,18.8,1,0,0,0,3,1,1,1,0,1,2,0,2,0,5,3,3
3,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,Check,1.5,3,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,3
3,1,0,1,1,0,0,2,1,3,1,1,0,0,2,6,Check,1.5,3,1,0,1,1,0,0,2,1,3,1,1,0,0,2,6,2
3,1,0,1,2,0,0,2,1,3,1,1,0,0,2,6,Call,7.5,3,1,0,1,2,0,0,2,1,3,1,1,0,0,2,6,2
3,1,0,1,3,0,0,2,1,3,1,1,0,0,3,6,Call,11.2,3,1,0,1,3,0,0,2,1,3,1,1,0,0,3,6,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Fold,-10.0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8,Call,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,8,1
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9,Check,0.5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,9,0
1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,9,Check,0.5,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,9,0
1,0,0,0,3,1,0,1,0,1,1,0,0,0,1,9,Check,0.5,1,0,0,0,3,1,0,1,0,1,1,0,0,0,1,9,0
1,0,0,0,3,1,0,1,0,1,1,0,0,0,1,9,Call,-10.0,1,0,0,0,3,1,0,1,0,1,1,0,0,0,1,9,0
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,1.5,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,Check,1.5,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,1
2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,8,Check,1.5,2,0,0,1,2,0,0,1,0,0,0,0,0,0,1,8,1
2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,8,Bet Small,5.0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,8,1
2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,8,Call,10.0,2,0,0,1,3,0,0,1,0,0,0,0,0,0,1,8,1
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Fold,-10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,9,Check,0.5,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,9,1
1,0,0,0,2,0,0,2,1,0,0,0,0,0,1,9,Call,10.0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,1,9,1
2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Bet Big,5.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,Check,1.5,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0
2,0,0,1,1,0,0,2,2,3,2,0,0,0,0,9,Fold,-10.0,2,0,0,1,1,0,0,2,2,3,2,0,0,0,0,9,0
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Call,10.0,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Fold,-10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,Check,0.5,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9,1
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,Bet Small,-5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,Call,10.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,9,0
1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,Call,10.0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0
1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,Check,0.5,1,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9,Bet Small,-5.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9,Call,10.0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,9,0
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,Fold,-10.0,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0
2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,Check,1.5,2,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,10,0
2,0,0,1,1,0,0,2,2,3,1,0,0,0,0,10,Check,1.5,2,0,0,1,1,0,0,2,2,3,1,0,0,0,0,10,0
