Hole cards,Wins,Losses,Splits,Win prob,Loss prob,Split prob
[2♣] [2♦],49444,48676,1880,0.4931,0.4861,0.0208
[2♣] [2♥],49275,48803,1922,0.49156363636363637,0.48725454545454544,0.02118181818181818
[2♣] [2♠],49362,48690,1948,0.49235454545454543,0.48622727272727273,0.02141818181818182
[2♣] [3♣],33245,60849,5906,0.34583636363636366,0.5967636363636364,0.0574
[2♣] [3♦],29434,64513,6053,0.3111909090909091,0.6300727272727272,0.058736363636363635
[2♣] [3♥],29555,64295,6150,0.31229090909090906,0.6280909090909091,0.05961818181818182
[2♣] [3♠],29118,64734,6148,0.3083181818181818,0.6320818181818182,0.0596
[2♣] [4♣],34011,60062,5927,0.3528,0.5896090909090909,0.05759090909090909
[2♣] [4♦],30124,63716,6160,0.31746363636363634,0.6228272727272727,0.059709090909090906
[2♣] [4♥],30122,63720,6158,0.31744545454545453,0.6228636363636364,0.05969090909090909
[2♣] [4♠],30003,63897,6100,0.31636363636363635,0.6244727272727273,0.05916363636363636
[2♣] [5♣],34960,59154,5886,0.3614272727272727,0.5813545454545455,0.05721818181818182
[2♣] [5♦],30917,63028,6055,0.3246727272727273,0.6165727272727273,0.058754545454545455
[2♣] [5♥],31181,62649,6170,0.3270727272727273,0.6131272727272727,0.0598
[2♣] [5♠],31087,62698,6215,0.3262181818181818,0.6135727272727273,0.06020909090909091
[2♣] [6♣],34796,59542,5662,0.3599363636363636,0.5848818181818182,0.05518181818181818
[2♣] [6♦],31084,62955,5961,0.3261909090909091,0.615909090909091,0.0579
[2♣] [6♥],31083,62882,6035,0.3261818181818182,0.6152454545454545,0.05857272727272727
[2♣] [6♠],30945,63031,6024,0.32492727272727273,0.6166,0.05847272727272727
[2♣] [7♣],35314,59240,5446,0.36464545454545455,0.5821363636363637,0.05321818181818182
[2♣] [7♦],31793,62401,5806,0.3326363636363636,0.6108727272727272,0.05649090909090909
[2♣] [7♥],31620,62649,5731,0.33106363636363634,0.6131272727272727,0.05580909090909091
[2♣] [7♠],31885,62312,5803,0.33347272727272725,0.6100636363636364,0.05646363636363636
[2♣] [8♣],37806,56958,5236,0.3873,0.561390909090909,0.05130909090909091
[2♣] [8♦],33940,60444,5616,0.35215454545454544,0.5930818181818182,0.05476363636363636
[2♣] [8♥],34279,60304,5417,0.35523636363636363,0.591809090909091,0.052954545454545456
[2♣] [8♠],34244,60313,5443,0.3549181818181818,0.5918909090909091,0.053190909090909094
[2♣] [9♣],40005,55188,4807,0.4072909090909091,0.5453,0.04740909090909091
[2♣] [9♦],36396,58320,5284,0.3744818181818182,0.5737727272727273,0.051745454545454546
[2♣] [9♥],36562,58353,5085,0.3759909090909091,0.5740727272727273,0.04993636363636363
[2♣] [9♠],36448,58377,5175,0.37495454545454543,0.5742909090909091,0.050754545454545455
[2♣] [T♣],42411,52973,4616,0.42916363636363636,0.5251636363636364,0.045672727272727275
[2♣] [T♦],39249,55923,4828,0.40041818181818184,0.5519818181818181,0.0476
[2♣] [T♥],39024,56114,4862,0.39837272727272727,0.5537181818181818,0.04790909090909091
[2♣] [T♠],39478,55638,4884,0.4025,0.549390909090909,0.04810909090909091
[2♣] [J♣],45402,50293,4305,0.45635454545454546,0.5008,0.04284545454545455
[2♣] [J♦],42028,53342,4630,0.42568181818181816,0.5285181818181818,0.0458
[2♣] [J♥],42271,53066,4663,0.4278909090909091,0.5260090909090909,0.0461
[2♣] [J♠],42091,53324,4585,0.42625454545454544,0.5283545454545454,0.04539090909090909
[2♣] [Q♣],48345,47604,4051,0.48310909090909093,0.4763545454545455,0.040536363636363634
[2♣] [Q♦],45185,50412,4403,0.45438181818181816,0.5018818181818182,0.043736363636363636
[2♣] [Q♥],45073,50486,4441,0.45336363636363636,0.5025545454545455,0.04408181818181818
[2♣] [Q♠],45152,50451,4397,0.4540818181818182,0.5022363636363636,0.04368181818181818
[2♣] [K♣],51176,44923,3901,0.5088454545454546,0.4519818181818182,0.039172727272727276
[2♣] [K♦],48385,47430,4185,0.4834727272727273,0.4747727272727273,0.041754545454545454
[2♣] [K♥],48180,47571,4249,0.48160909090909093,0.47605454545454545,0.04233636363636364
[2♣] [K♠],48434,47415,4151,0.4839181818181818,0.47463636363636363,0.04144545454545454
[2♣] [A♣],55543,40688,3769,0.5485454545454546,0.4134818181818182,0.037972727272727276
[2♣] [A♦],52907,43139,3954,0.5245818181818181,0.43576363636363635,0.039654545454545456
[2♣] [A♥],52791,43215,3994,0.5235272727272727,0.43645454545454543,0.04001818181818182
[2♣] [A♠],53080,42946,3974,0.5261545454545454,0.4340090909090909,0.039836363636363635
[2♦] [2♥],49558,48494,1948,0.49413636363636365,0.48444545454545457,0.02141818181818182
[2♦] [2♠],49075,49032,1893,0.48974545454545454,0.4893363636363636,0.02091818181818182
[2♦] [3♣],29260,64678,6062,0.3096090909090909,0.6315727272727273,0.05881818181818182
[2♦] [3♦],33061,61081,5858,0.34416363636363634,0.5988727272727272,0.05696363636363636
[2♦] [3♥],29439,64440,6121,0.31123636363636364,0.6294090909090909,0.05935454545454545
[2♦] [3♠],28973,64728,6299,0.307,0.6320272727272728,0.060972727272727276
[2♦] [4♣],30235,63492,6273,0.3184727272727273,0.6207909090909091,0.06073636363636364
[2♦] [4♦],34108,60136,5756,0.3536818181818182,0.5902818181818181,0.056036363636363634
[2♦] [4♥],30017,63896,6087,0.3164909090909091,0.6244636363636363,0.05904545454545455
[2♦] [4♠],30352,63589,6059,0.3195363636363636,0.6216727272727273,0.05879090909090909
[2♦] [5♣],31289,62328,6383,0.32805454545454543,0.6102090909090909,0.06173636363636364
[2♦] [5♦],35178,59031,5791,0.3634090909090909,0.5802363636363637,0.056354545454545456
[2♦] [5♥],31198,62558,6244,0.3272272727272727,0.6123,0.060472727272727275
[2♦] [5♠],31034,62791,6175,0.32573636363636366,0.6144181818181819,0.05984545454545455
[2♦] [6♣],31283,62815,5902,0.328,0.6146363636363636,0.05736363636363637
[2♦] [6♦],34959,59370,5671,0.3614181818181818,0.5833181818181818,0.05526363636363636
[2♦] [6♥],31110,62903,5987,0.32642727272727273,0.6154363636363637,0.05813636363636364
[2♦] [6♠],30943,62970,6087,0.3249090909090909,0.6160454545454546,0.05904545454545455
[2♦] [7♣],31644,62627,5729,0.3312818181818182,0.6129272727272728,0.05579090909090909
[2♦] [7♦],35524,59146,5330,0.36655454545454547,0.5812818181818182,0.05216363636363636
[2♦] [7♥],31595,62532,5873,0.33083636363636365,0.6120636363636364,0.0571
