Game,Wins,Losses
1,1,0
2,1,1
3,2,1
4,2,2
5,3,2
6,3,3
7,3,4
8,4,4
9,5,4
10,5,5
11,6,5
12,6,6
13,6,7
14,7,7
15,8,7
16,9,7
17,10,7
18,10,8
19,11,8
20,11,9
21,11,10
22,12,10
23,12,11
24,12,12
25,12,13
26,13,13
27,13,14
28,14,14
29,15,14
30,16,14
31,16,15
32,17,15
33,18,15
34,18,16
35,19,16
36,19,17
37,19,18
38,19,19
39,19,20
40,19,21
41,20,21
42,20,22
43,20,23
44,20,24
45,20,25
46,21,25
47,21,26
48,21,27
49,21,28
50,21,29
51,21,30
52,21,31
53,21,32
54,22,32
55,23,32
56,24,32
57,25,32
58,25,33
59,26,33
60,26,34
61,26,35
62,27,35
63,27,36
64,27,37
65,27,38
66,27,39
67,27,40
68,27,41
69,28,41
70,28,42
71,29,42
72,29,43
73,29,44
74,30,44
75,31,44
76,32,44
77,33,44
78,34,44
79,35,44
80,35,45
81,35,46
82,35,47
83,36,47
84,36,48
85,36,49
86,36,50
87,37,50
88,37,51
89,37,52
90,37,53
91,37,54
92,37,55
93,37,56
94,37,57
95,37,58
96,38,58
97,39,58
98,39,59
99,39,60
100,40,60
101,40,61
102,40,62
103,41,62
104,42,62
105,42,63
106,43,63
107,43,64
108,44,64
109,44,65
110,45,65
111,45,66
112,45,67
113,45,68
114,46,68
115,47,68
116,48,68
117,49,68
118,49,69
119,49,70
120,50,70
121,50,71
122,51,71
123,51,72
124,51,73
125,52,73
126,53,73
127,53,74
128,53,75
129,54,75
130,54,76
131,54,77
132,54,78
133,55,78
134,56,78
135,57,78
136,58,78
137,58,79
138,58,80
139,59,80
140,59,81
141,59,82
142,60,82
143,60,83
144,60,84
145,61,84
146,62,84
147,63,84
148,63,85
149,64,85
150,65,85
151,65,86
152,65,87
153,66,87
154,66,88
155,67,88
156,67,89
157,68,89
158,68,90
159,68,91
160,68,92
161,68,93
162,68,94
163,68,95
164,68,96
165,68,97
166,69,97
167,69,98
168,69,99
169,70,99
170,70,100
171,70,101
172,70,102
173,70,103
174,70,104
175,70,105
176,70,106
177,70,107
178,71,107
179,72,107
180,72,108
181,72,109
182,73,109
183,74,109
184,74,110
185,74,111
186,75,111
187,76,111
188,76,112
189,77,112
190,77,113
191,78,113
192,78,114
193,78,115
194,78,116
195,78,117
196,79,117
197,79,118
198,80,118
199,80,119
200,80,120
201,80,121
202,81,121
203,81,122
204,81,123
205,82,123
206,83,123
207,83,124
208,84,124
209,85,124
210,86,124
211,86,125
212,86,126
213,87,126
214,88,126
215,89,126
216,89,127
217,90,127
218,91,127
219,92,127
220,92,128
221,92,129
222,93,129
223,94,129
224,95,129
225,96,129
226,96,130
227,96,131
228,96,132
229,96,133
230,96,134
231,97,134
232,98,134
233,99,134
234,99,135
235,100,135
236,100,136
237,100,137
238,100,138
239,100,139
240,100,140
241,100,141
242,101,141
243,102,141
244,103,141
245,104,141
246,105,141
247,106,141
248,106,142
249,107,142
250,107,143
