Game,Wins,Losses
1,1,0
2,2,0
3,2,1
4,3,1
5,4,1
6,4,2
7,4,3
8,5,3
9,6,3
10,7,3
11,8,3
12,9,3
13,9,4
14,10,4
15,11,4
16,11,5
17,12,5
18,13,5
19,13,6
20,13,7
21,14,7
22,15,7
23,16,7
24,17,7
25,18,7
26,19,7
27,19,8
28,20,8
29,21,8
30,22,8
31,23,8
32,23,9
33,23,10
34,24,10
35,25,10
36,26,10
37,26,11
38,26,12
39,27,12
40,27,13
41,28,13
42,28,14
43,28,15
44,28,16
45,28,17
46,29,17
47,29,18
48,30,18
49,31,18
50,32,18
51,33,18
52,33,19
53,34,19
54,35,19
55,36,19
56,37,19
57,38,19
58,39,19
59,39,20
60,40,20
61,41,20
62,41,21
63,41,22
64,42,22
65,43,22
66,44,22
67,44,23
68,45,23
69,46,23
70,47,23
71,47,24
72,48,24
73,49,24
74,50,24
75,51,24
76,51,25
77,51,26
78,52,26
79,52,27
80,52,28
81,53,28
82,54,28
83,55,28
84,56,28
85,57,28
86,58,28
87,59,28
88,59,29
89,60,29
90,61,29
91,62,29
92,62,30
93,62,31
94,62,32
95,63,32
96,63,33
97,64,33
98,65,33
99,66,33
100,67,33
101,68,33
102,69,33
103,70,33
104,71,33
105,71,34
106,72,34
107,73,34
108,73,35
109,73,36
110,74,36
111,74,37
112,75,37
113,76,37
114,77,37
115,78,37
116,78,38
117,79,38
118,79,39
119,80,39
120,80,40
121,80,41
122,81,41
123,82,41
124,83,41
125,83,42
126,84,42
127,84,43
128,85,43
129,86,43
130,87,43
131,88,43
132,89,43
133,89,44
134,90,44
135,91,44
136,91,45
137,91,46
138,92,46
139,93,46
140,93,47
141,93,48
142,94,48
143,95,48
144,95,49
145,95,50
146,95,51
147,95,52
148,96,52
149,96,53
150,96,54
151,97,54
152,98,54
153,98,55
154,98,56
155,99,56
156,100,56
157,100,57
158,101,57
159,102,57
160,103,57
161,104,57
162,105,57
163,106,57
164,107,57
165,107,58
166,107,59
167,107,60
168,108,60
169,108,61
170,108,62
171,109,62
172,110,62
173,110,63
174,111,63
175,111,64
176,112,64
177,112,65
178,112,66
179,113,66
180,114,66
181,114,67
182,115,67
183,116,67
184,117,67
185,118,67
186,118,68
187,119,68
188,119,69
189,119,70
190,120,70
191,121,70
192,122,70
193,123,70
194,124,70
195,125,70
196,126,70
197,127,70
198,127,71
199,128,71
200,128,72
201,129,72
202,130,72
203,131,72
204,131,73
205,132,73
206,133,73
207,133,74
208,133,75
209,134,75
210,134,76
211,135,76
212,135,77
213,136,77
214,136,78
215,136,79
216,137,79
217,138,79
218,138,80
219,138,81
220,138,82
221,139,82
222,140,82
223,140,83
224,140,84
225,141,84
226,141,85
227,142,85
228,143,85
229,143,86
230,143,87
231,143,88
232,144,88
233,144,89
234,144,90
235,145,90
236,145,91
237,146,91
238,147,91
239,147,92
240,148,92
241,148,93
242,149,93
243,150,93
244,151,93
245,152,93
246,152,94
247,153,94
248,153,95
249,153,96
250,154,96

